id,drug_name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2
1046,amoxyclav 1000 mg/200 mg injection,Megox 1000 mg/200 mg Injection,Moxilium CV 1000mg/200mg Injection,Lactoclaav 1000mg/200mg Injection,Indclav 1000 mg/200 mg Injection,Clavactum 1000mg/200mg Injection,Vomiting,Nausea,Diarrhea
1047,anti cold tablet,New Hatric 3 Tablet,Coldarin All in 1 Tablet,Sumo Cold Tablet,Coldnyl-Plus Tablet,Rimycold-P Tablet,Nausea,Vomiting,Insomnia (difficulty in sleeping)
1048,alciflox d eye/ear drops,Kemocip D Eye/Ear Drops,Biocip D Eye/Ear Drops,Zoxan-D Eye/Ear Drops,Lucipro D Eye/Ear Drops,Floxomed D Eye/Ear Drops,"Application site reactions (burning, irritation, itching and redness)",Eye discomfort,Corneal deposits
1049,advastat 10 tablet,Fortius 10 Tablet,Unizuva 10mg Tablet,Lipirose 10 Tablet,Consivas 10 Tablet,Jupiros 10 Tablet,Muscle pain,Weakness,Headache
1050,aldigesic mr tablet,Frenac MR 100mg/250mg/325mg Tablet,Stalace MR 100mg/250mg/325mg Tablet,Afast-MR Tablet,Acelonox MR Tablet,Clora MR 100mg/250mg/325mg Tablet,Nausea,Sleepiness,Vomiting
1051,arzu 10 tablet,Aripiren 10mg Tablet,Ripramat 10 Tablet,Rizotal 10mg Tablet,Arip MT 10 Tablet,Ariday 10 Tablet,Akathisia (inability to stay still),Anxiety,Blurred vision
1052,asprito 10 tablet,Apiz 10mg Tablet,Aripiren 10mg Tablet,Ripramat 10 Tablet,Rizotal 10mg Tablet,Arip MT 10 Tablet,Akathisia (inability to stay still),Anxiety,Blurred vision
1053,azifast 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain
1054,anfoe 6000iu injection,Erypro Safe 6000IU Injection,Epofer 6000IU Injection,Vintor 6000IU Injection,Epofaith 6000IU Injection,Rpo 6000IU Injection,High blood pressure,Nausea,Vomiting
1055,acnelak-clz cream,StayHappi Clindamycin+Zinc acetate Cream,,,,,Skin peeling,Erythema (skin redness),Dry skin
1056,amoxil 500mg injection,Amox C 500mg Injection,Optimox 500mg Injection,Mox 500mg Injection,Vexicin 500mg Injection,Novamox 500mg Injection,"Injection site reactions (pain, swelling, redness)",Rash,Vomiting
1057,alenix 5 tablet,Lorday Tablet,Alides 5mg Tablet,Deswin 5mg Tablet,Nucope 5mg Tablet,Eslot 5mg Tablet,Sleepiness,Dizziness,
1058,atorbest 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion
1059,amide 25 tablet,Exam 25mg Tablet,Amal T 25mg Tablet,Amisyt 25mg Tablet,Amal T 25mg Tablet,,Nausea,Vomiting,Dryness in mouth
1060,aleva 5mg tablet,L Dio 1 Tablet,Lecope Tablet,LCZ Tablet,1-AL Tablet,L Hist Tablet,Sleepiness,Fatigue,Dryness in mouth
1061,amlopin 2.5 tablet,Amvasc 2.5mg Tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlokind 2.5 Tablet,Amlip 2.5 Tablet,Headache,Fatigue,Nausea
1062,ace-th 4 tablet,Bignac-MR 4 Tablet,Neorelax A 4mg Tablet,Thioquest A 100 mg/4 mg Tablet,Canace-TH4 Tablet,Thichoren AC 4 Tablet,Nausea,Vomiting,Heartburn
1063,Atrovent HFA,random,,,,,,,
